item_name,difficulty,method,notes,tags,passive_craftworks_info,farmrpg_item_id,buddy_item_id,buddy_slug,source_sheet,source_row
Ugly Buddy Sweater,99,,,event,,,,,Missing from mastery_difficulty,
Valentines Card,99,,,,,,,,Missing from mastery_difficulty,
Witch's Brew,99,,,event,,,,,Missing from mastery_difficulty,
Witch's Broom,99,,,,,,,,Missing from mastery_difficulty,
Yellow Watermelon,99,,,event,,,,,Missing from mastery_difficulty,
Yule Goat,99,,,event,,,,,Missing from mastery_difficulty,
Hot Potato,99,,,,,,,,Missing from mastery_difficulty,
Piñata Whop Stick,99,,,,,,,,Missing from mastery_difficulty,
Blubberfish,1,,,,,,,,Missing from mastery_difficulty,
Bog Barnacle,1,,,,,,,,Missing from mastery_difficulty,
Boghead Snapper,1,,,,,,,,Missing from mastery_difficulty,
Cloth,3,,,,,,,,Missing from mastery_difficulty,
Fancy Clock,10,,,,,,,,Missing from mastery_difficulty,
Fancy Sword,10,,,,,,,,Missing from mastery_difficulty,
Fancy Violin,10,,,,,,,,Missing from mastery_difficulty,
Fire Ant Farm,7,,,,,,,,Missing from mastery_difficulty,
Gold Diamond Ring,6,,,,,,,,Missing from mastery_difficulty,
Gold Emerald Ring,4,,,,,,,,Missing from mastery_difficulty,
Gold Feed,9,,,,,,,,Missing from mastery_difficulty,
Gold Garnet Ring,4,,,,,,,,Missing from mastery_difficulty,
Gold Jade Ring,4,,,,,,,,Missing from mastery_difficulty,
Gold Ring,2,,,,,,,,Missing from mastery_difficulty,
Gold Ruby Ring,4,,,,,,,,Missing from mastery_difficulty,
Green Shirt,5,,,,,,,,Missing from mastery_difficulty,
Leather Helmet,4,,,,,,,,Missing from mastery_difficulty,
Pine Board,6,,,,,,,,Missing from mastery_difficulty,
Pine Shelf,9,,,,,,,,Missing from mastery_difficulty,
Reinforced Helmet,10,,,,,,,,Missing from mastery_difficulty,
Sail Cloth,10,,,,,,,,Missing from mastery_difficulty,
Sewing Needle,2,,,,,,,,Missing from mastery_difficulty,
Ship Mast,5,,,,,,,,Missing from mastery_difficulty,
Splatfish,1,,,,,,,,Missing from mastery_difficulty,
